DBCODE,ENTITY,YEAR,SITECODE,SECTION,REACH,PASS,UNITNUM,UNITTYPE,VERT_INDEX,PITNUMBER,SPECIES,LENGTH1,LENGTH2,WEIGHT,CLIP,SAMPLEDATE,NOTES
AS006,1,1987,MACKCC-L,CC,L,1,2,C,4,NA,ONCL,105,NA,10.85,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,5,NA,ONCL,145,NA,22.9,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,6,NA,ONCL,97,NA,7.3,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,7,NA,ONCL,118,NA,12,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,8,NA,ONCL,110,NA,11.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,9,NA,ONCL,133,NA,19.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,10,NA,ONCL,99,NA,7.75,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,11,NA,ONCL,93,NA,7.05,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,12,NA,ONCL,155,NA,30.85,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,13,NA,ONCL,131,NA,17.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,14,NA,ONCL,120,NA,13.45,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,15,NA,ONCL,94,NA,6.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,16,NA,ONCL,97,NA,7.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,17,NA,ONCL,98,NA,7.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,18,NA,ONCL,122,NA,14.2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,19,NA,ONCL,135,NA,19.7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,20,NA,ONCL,186,NA,49.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,21,NA,ONCL,121,NA,16.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,22,NA,ONCL,59,NA,2.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,23,NA,ONCL,91,NA,6.9,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,24,NA,ONCL,103,NA,9.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,25,NA,ONCL,107,NA,9.3,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,26,NA,ONCL,129,NA,17.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,27,NA,ONCL,92,NA,6.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,28,NA,ONCL,93,NA,8.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,29,NA,ONCL,154,NA,29.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,30,NA,ONCL,121,NA,13.95,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,31,NA,ONCL,63,NA,2.35,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,32,NA,ONCL,116,NA,12.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,33,NA,ONCL,59,NA,2.35,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,34,NA,ONCL,48,NA,1.3,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,35,NA,ONCL,111,NA,10.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,36,NA,ONCL,63,NA,2.05,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,37,NA,ONCL,96,NA,7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,38,NA,ONCL,62,NA,2.3,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,39,NA,ONCL,57,NA,2.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,40,NA,ONCL,57,NA,1.85,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,41,NA,ONCL,56,NA,2.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,42,NA,ONCL,64,NA,2.45,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,43,NA,ONCL,58,NA,1.95,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,44,NA,ONCL,70,NA,3.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,2,C,45,NA,ONCL,68,NA,2.8,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,3,S,1,NA,ONCL,83,NA,5.7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,3,S,2,NA,ONCL,55,NA,1.4,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,4,P,1,NA,ONCL,61,NA,2.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,4,P,2,NA,ONCL,142,NA,21.3,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,4,P,3,NA,ONCL,121,NA,14.9,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,4,P,4,NA,ONCL,100,NA,7.35,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,4,P,5,NA,ONCL,96,NA,7.35,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,4,P,6,NA,ONCL,158,NA,30.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,4,P,7,NA,ONCL,96,NA,7.05,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,4,P,8,NA,ONCL,60,NA,2.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,4,P,9,NA,ONCL,55,NA,1.75,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,5,C,1,NA,ONCL,66,NA,2.95,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,5,C,2,NA,ONCL,116,NA,12.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,5,C,3,NA,ONCL,134,NA,19.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,5,C,4,NA,ONCL,63,NA,2.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,1,NA,ONCL,101,NA,9.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,2,NA,ONCL,58,NA,2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,3,NA,ONCL,52,NA,1.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,4,NA,ONCL,28,NA,6.3,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,5,NA,ONCL,65,NA,2.35,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,6,NA,ONCL,61,NA,1.9,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,7,NA,ONCL,62,NA,2.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,8,NA,ONCL,135,NA,19.4,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,9,NA,ONCL,61,NA,2.3,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,10,NA,ONCL,106,NA,10.75,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,11,NA,ONCL,88,NA,5.2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,12,NA,ONCL,103,NA,9.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,13,NA,ONCL,107,NA,9.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,14,NA,ONCL,53,NA,1.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,15,NA,ONCL,81,NA,4.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,16,NA,ONCL,58,NA,1.7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,17,NA,ONCL,68,NA,2.45,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,18,NA,ONCL,57,NA,2.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,19,NA,ONCL,65,NA,2.7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,20,NA,ONCL,59,NA,1.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,21,NA,ONCL,51,NA,1.45,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,22,NA,ONCL,59,NA,1.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,23,NA,ONCL,58,NA,1.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,24,NA,ONCL,58,NA,1.85,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,25,NA,ONCL,53,NA,1.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,26,NA,ONCL,55,NA,1.75,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,27,NA,ONCL,58,NA,2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,28,NA,ONCL,55,NA,1.7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,1,6,SC,29,NA,ONCL,57,NA,1.85,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,1,R,1,NA,ONCL,61,NA,2.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,1,R,2,NA,ONCL,98,NA,9.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,1,R,3,NA,ONCL,92,NA,6.95,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,1,R,4,NA,ONCL,92,NA,6.95,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,1,R,5,NA,ONCL,121,NA,16.8,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,1,R,6,NA,ONCL,106,NA,10,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,2,C,1,NA,ONCL,96,NA,7.35,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,2,C,2,NA,ONCL,97,NA,8.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,2,C,3,NA,ONCL,101,NA,8.7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,4,P,1,NA,ONCL,57,NA,2.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,4,P,2,NA,ONCL,122,NA,15.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,4,P,3,NA,ONCL,102,NA,11.3,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,4,P,4,NA,ONCL,119,NA,18.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,4,P,5,NA,ONCL,158,NA,33.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,5,C,1,NA,ONCL,85,NA,5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-L,CC,L,2,6,SC,1,NA,ONCL,55,NA,1.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,1,NA,ONCL,59,NA,1.85,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,2,NA,ONCL,95,NA,7.2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,3,NA,ONCL,108,NA,10.45,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,4,NA,ONCL,114,NA,11.7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,5,NA,ONCL,115,NA,15.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,6,NA,ONCL,166,NA,37.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,7,NA,ONCL,145,NA,27.8,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,8,NA,ONCL,184,NA,64.2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,9,NA,ONCL,140,NA,23.4,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,10,NA,ONCL,151,NA,31.2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,11,NA,ONCL,133,NA,19.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,12,NA,ONCL,124,NA,17.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,13,NA,ONCL,130,NA,19.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,14,NA,ONCL,88,NA,6.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,15,NA,ONCL,107,NA,10.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,16,NA,ONCL,94,NA,6.85,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,17,NA,ONCL,69,NA,3.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,18,NA,ONCL,57,NA,2.2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,19,NA,ONCL,92,NA,6.05,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,7,P,20,NA,ONCL,89,NA,6.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,1,NA,ONCL,60,NA,1.95,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,2,NA,ONCL,147,NA,30.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,3,NA,ONCL,150,NA,28.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,4,NA,ONCL,56,NA,1.8,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,5,NA,ONCL,62,NA,2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,6,NA,ONCL,53,NA,1.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,7,NA,ONCL,57,NA,2.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,8,NA,ONCL,52,NA,1.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,9,NA,ONCL,101,NA,8.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,10,NA,ONCL,100,NA,9.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,11,NA,ONCL,112,NA,12.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,12,NA,ONCL,136,NA,21.05,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,13,NA,ONCL,133,NA,22.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,14,NA,ONCL,94,NA,7.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,15,NA,ONCL,52,NA,1.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,16,NA,ONCL,97,NA,7.8,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,17,NA,ONCL,106,NA,9.8,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,18,NA,ONCL,85,NA,5.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,19,NA,ONCL,105,NA,9.75,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,20,NA,ONCL,143,NA,24,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,21,NA,ONCL,148,NA,28.9,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,22,NA,ONCL,96,NA,7.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,23,NA,ONCL,122,NA,15.4,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,24,NA,ONCL,127,NA,17.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,8,C,25,NA,ONCL,117,NA,13.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,1,NA,ONCL,65,NA,2.4,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,2,NA,ONCL,65,NA,2.45,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,3,NA,ONCL,98,NA,9.35,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,4,NA,ONCL,131,NA,21.3,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,5,NA,ONCL,120,NA,15.4,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,6,NA,ONCL,139,NA,27.75,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,7,NA,ONCL,95,NA,8.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,8,NA,ONCL,88,NA,6.3,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,9,NA,ONCL,61,NA,2.15,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,10,NA,ONCL,63,NA,2.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,11,NA,ONCL,105,NA,10.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,12,NA,ONCL,63,NA,2.2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,13,NA,ONCL,59,NA,2.35,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,14,NA,ONCL,60,NA,1.9,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,15,NA,ONCL,53,NA,1.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,16,NA,ONCL,71,NA,3.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,17,NA,ONCL,56,NA,1.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,18,NA,ONCL,61,NA,2.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,9,SC,19,NA,ONCL,51,NA,1.2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,1,NA,ONCL,98,NA,8.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,2,NA,ONCL,43,NA,0.45,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,3,NA,ONCL,51,NA,1.2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,4,NA,ONCL,53,NA,1.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,5,NA,ONCL,144,NA,25.8,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,6,NA,ONCL,131,NA,20.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,7,NA,ONCL,131,NA,19.75,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,8,NA,ONCL,106,NA,9.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,9,NA,ONCL,120,NA,14.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,10,NA,ONCL,165,NA,40.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,11,NA,ONCL,48,NA,1.05,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,12,NA,ONCL,49,NA,1.2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,10,P,13,NA,ONCL,62,NA,2.75,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,11,C,1,NA,ONCL,72,NA,3.6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,11,C,2,NA,ONCL,128,NA,19.3,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,11,C,3,NA,ONCL,47,NA,1.1,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,11,C,4,NA,ONCL,126,NA,18.7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,11,C,5,NA,ONCL,99,NA,8.95,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,11,C,6,NA,ONCL,86,NA,6,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,11,C,7,NA,ONCL,130,NA,18.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,11,C,8,NA,ONCL,123,NA,16.7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,11,C,9,NA,ONCL,104,NA,10.05,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,11,C,10,NA,ONCL,66,NA,2.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,1,11,C,11,NA,ONCL,65,NA,2.75,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,7,P,1,NA,ONCL,132,NA,19.55,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,7,P,2,NA,ONCL,124,NA,16,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,7,P,3,NA,ONCL,123,NA,16.05,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,7,P,4,NA,ONCL,95,NA,8.85,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,7,P,5,NA,ONCL,63,NA,2.8,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,8,C,1,NA,ONCL,107,NA,10.75,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,8,C,2,NA,ONCL,91,NA,6.8,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,8,C,3,NA,ONCL,93,NA,6.8,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,8,C,4,NA,ONCL,102,NA,8.4,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,8,C,5,NA,ONCL,92,NA,6.35,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,8,C,6,NA,ONCL,91,NA,6.45,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,8,C,7,NA,ONCL,60,NA,2.5,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,8,C,8,NA,ONCL,53,NA,1.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,9,SC,1,NA,ONCL,60,NA,2,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,9,SC,2,NA,ONCL,104,NA,12.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,9,SC,3,NA,ONCL,51,NA,1.25,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,9,SC,4,NA,ONCL,86,NA,6.65,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,9,SC,5,NA,ONCL,116,NA,14.7,NONE,10/7/87,NA
AS006,1,1987,MACKCC-M,CC,M,2,9,SC,6,NA,ONCL,105,NA,10.4,NONE,10/7/87,NA
